publication_week,entity,mentions,unique_stories,weighted_mentions,estimated_reach,avg_stance
2026-03-16/2026-03-22,Israel,9,8,8.661,3369862,-0.298
2026-03-16/2026-03-22,Labour Party,2,2,1.807,472758,-0.25
2026-03-16/2026-03-22,Micheál Martin,9,7,7.473,1498775,-0.056
2026-03-16/2026-03-22,NATO,7,6,6.054,1638430,0.071
2026-03-16/2026-03-22,People Before Profit,2,2,1.729,454710,0.0
2026-03-16/2026-03-22,Russia,2,2,1.851,474720,-0.217
2026-03-16/2026-03-22,Shannon Airport,2,2,1.569,265940,-0.584
2026-03-16/2026-03-22,Sinn Féin,3,3,2.617,887203,0.0
2026-03-16/2026-03-22,Triple Lock,1,1,0.747,63027,-0.5
2026-03-16/2026-03-22,UN,1,1,0.939,416834,0.0
2026-03-16/2026-03-22,US military,2,2,1.874,445774,-0.716
2026-03-16/2026-03-22,Ukraine,5,5,4.552,1545388,-0.237
2026-03-16/2026-03-22,United States,3,3,2.809,820484,-0.167
2026-03-16/2026-03-22,Volodymyr Zelenskiy,1,1,0.818,57886,0.5
2026-03-23/2026-03-29,Cabinet,3,3,2.552,536790,0.167
2026-03-23/2026-03-29,Colm McCarthy,1,1,0.937,388235,0.0
2026-03-23/2026-03-29,Defence Forces,4,4,3.45,596246,0.0
2026-03-23/2026-03-29,Donald Trump,2,2,1.757,474720,-0.5
2026-03-23/2026-03-29,Dáil,8,8,6.846,1894834,-0.365
2026-03-23/2026-03-29,EU,3,3,2.942,1179779,-0.114
2026-03-23/2026-03-29,Fianna Fáil,2,2,1.524,114032,-0.25
2026-03-23/2026-03-29,Fine Gael,2,2,1.524,114032,-0.25
2026-03-23/2026-03-29,Gaza,3,3,2.752,884946,-0.747
2026-03-23/2026-03-29,Government,15,15,13.025,3422471,-0.128
2026-03-23/2026-03-29,Helen McEntee,1,1,0.869,61457,0.5
2026-03-23/2026-03-29,Israel,3,3,2.864,729715,-0.5
2026-03-23/2026-03-29,Kathy Sheridan,1,1,0.939,416834,-0.5
2026-03-23/2026-03-29,Labour Party,2,2,1.757,474720,-0.5
2026-03-23/2026-03-29,Lelia Doolan,1,1,0.939,409767,-0.909
2026-03-23/2026-03-29,Micheál Martin,1,1,0.818,57886,-0.5
2026-03-23/2026-03-29,NATO,5,5,4.374,842505,-0.347
2026-03-23/2026-03-29,People Before Profit,1,1,0.939,409767,-0.909
2026-03-23/2026-03-29,Russia,2,2,1.878,833668,-0.25
2026-03-23/2026-03-29,Shannon Airport,4,4,3.48,782483,-0.686
2026-03-23/2026-03-29,Simon Harris,1,1,0.939,416834,0.0
2026-03-23/2026-03-29,Sinn Féin,2,2,1.563,116385,-0.25
2026-03-23/2026-03-29,Triple Lock,1,1,0.78,55533,-0.833
2026-03-23/2026-03-29,UN,2,2,1.719,472367,-0.616
2026-03-23/2026-03-29,US military,5,5,4.372,911483,-0.548
