Outlet,mentions,unique_stories,weighted_mentions,estimated_reach,avg_stance,avg_sentiment,top_cluster,top_frame,top_tier,sample_headline,sample_link,mentions_s,unique_stories_s,weighted_mentions_s,estimated_reach_s,impact_score,share_of_voice,entity_type,stance_label,narrative_role,actor_type,entity_group
Midlands 103,7,1,5.632707938043703,560000,-0.119,0.0928571428571428,Ukraine war and moral neutrality,Other Neutrality Debate,Mid,Midlands 103 - Neutrality,,0.1666666666666666,0.0,0.1498566354249927,0.0363097423318038,9.0,0.0095702842593435,Media outlet,Mixed / unclear,Media amplifier,Media outlet,Media outlet
The Clare Champion,5,5,4.035056733428383,304285,-0.93,0.26,Shannon Airport and US military use #3,Shannon / US Military / Anti-war,Mid,Doolan to undertake peace walk from Clare to the Dáil,https://clarechampion.ie/doolan-to-undertake-peace-walk-from-clare-to-the-dail,0.1111111111111111,0.1111111111111111,0.1055010243296078,0.0197294820454159,8.3,0.0068557859498924,Media outlet,Strong preserve,Media amplifier,Media outlet,Media outlet
Cork Beo,6,3,4.4527308938558665,330750,-0.4813333333333333,0.0,Ukraine war and moral neutrality,Defence Capability / Underinvestment,Mid,91-year-old Clare woman walks 220km from Shannon Airport to the Dáil in protest,https://www.corkbeo.ie/news/local-news/91-year-old-clare-woman-33776274,0.1388888888888889,0.0555555555555555,0.117096917457591,0.0214454415647216,8.1,0.007565437592946,Media outlet,Strong preserve,Media amplifier,Media outlet,Media outlet
Dublin People,5,5,3.832720468341521,291351,-0.1,0.13,Ukraine war and moral neutrality,Other Neutrality Debate,Mid,Irish Neutrality,https://dublinpeople.com/news/northsideeast/articles/2026/03/25/obrien-carbon-tax,0.1111111111111111,0.1111111111111111,0.0998835599802184,0.0188908566752024,8.1,0.0065120053750509,Media outlet,Mixed / unclear,Media amplifier,Media outlet,Media outlet
Killarney Advertiser,5,5,3.8798951802536346,249224,0.0,0.52,Ukraine war and moral neutrality,Ukraine / Russia / Moral Responsibility,Mid,FOUR YEARS IN KILLARNEY,https://killarneyadvertiser.ie/news/arbutus-hotels-100th-anniversary-honoured-at-ihf-conference,0.1111111111111111,0.1111111111111111,0.1011932721183032,0.0161593914694669,8.1,0.0065921578359662,Media outlet,Mixed / unclear,Media amplifier,Media outlet,Media outlet
Laois Nationalist,5,5,3.761519892438842,296445,-0.2402,-0.13,Defence capability and security gaps,Ukraine / Russia / Moral Responsibility,Mid,"Irish neutrality should be put to a public vote, say Sinn Féin - Homepage - Laois Nationalist",https://laois-nationalist.ie/irish-neutrality-should-be-put-to-a-public-vote-say-sinn-f%C3%A9in_arid-93952.html,0.1111111111111111,0.1111111111111111,0.0979068174688471,0.0192211456527707,8.0,0.0063910316341233,Media outlet,Lean preserve,Media amplifier,Media outlet,Media outlet
Limerick's Live 95FM,6,1,4.7909217862296885,552000,-0.5608333333333334,-0.1083333333333333,Sinn Féin and government neutrality clash,Other Neutrality Debate,Mid,Limerick's Live 95FM - Neutrality,,0.1388888888888889,0.0,0.1264861155846917,0.0357910317270638,7.8,0.0081400427401574,Media outlet,Strong preserve,Media amplifier,Media outlet,Media outlet
Dundalk Democrat,5,4,3.807672272405564,310705,-0.3026,0.0,"NATO, EU security and defence cooperation",Defence Capability / Underinvestment,Mid,91-year-old woman walks 220km to protest US military at Co Clare airport,http://dundalkdemocrat.ie/news/national-news/2062297/91-year-old-woman-walks-220km-to-protest-us-military-at-co-clare-airport.html,0.1111111111111111,0.0833333333333333,0.0991881465918851,0.0201457473057198,7.6,0.0064694470961684,Media outlet,Lean preserve,Media amplifier,Media outlet,Media outlet
Leinster Leader,5,4,3.8109532479756,316290,-0.3112,0.0,"NATO, EU security and defence cooperation",Defence Capability / Underinvestment,Mid,91-year-old woman walks 220km to protest over US military at Co Clare airport,http://leinsterleader.ie/news/national-news/2062297/91-year-old-woman-walks-220km-to-protest-us-military-at-co-clare-airport.html,0.1111111111111111,0.0833333333333333,0.0992792363591494,0.020507872146654,7.6,0.0064750216562554,Media outlet,Lean preserve,Media amplifier,Media outlet,Media outlet
Longford Leader,5,4,3.792889882499616,286740,-0.3016,0.0,"NATO, EU security and defence cooperation",Defence Capability / Underinvestment,Mid,91-year-old woman walks 220km to protest over US military at Co Clare airport,http://longfordleader.ie/news/national-news/2062297/91-year-old-woman-walks-220km-to-protest-us-military-at-co-clare-airport.html,0.1111111111111111,0.0833333333333333,0.0987777429093827,0.0185918848503954,7.5,0.0064443309930456,Media outlet,Lean preserve,Media amplifier,Media outlet,Media outlet
Tipperary Live,5,4,3.784311621916199,273690,-0.3016,0.0,"NATO, EU security and defence cooperation",Defence Capability / Underinvestment,Mid,91-year-old woman walks 220km to protest over US military at Co Clare airport,http://tipperarylive.ie/news/national-news/2062297/91-year-old-woman-walks-220km-to-protest-us-military-at-co-clare-airport.html,0.1111111111111111,0.0833333333333333,0.098539584549652,0.0177457381764132,7.5,0.0064297560509153,Media outlet,Lean preserve,Media amplifier,Media outlet,Media outlet
Carlow Live,5,4,3.7910762198295096,283930,-0.301,0.0,"NATO, EU security and defence cooperation",Defence Capability / Underinvestment,Mid,91-year-old woman walks 220km to protest over US military at Co Clare airport,http://carlowlive.ie/news/national-news/2062297/91-year-old-woman-walks-220km-to-protest-us-military-at-co-clare-airport.html,0.1111111111111111,0.0833333333333333,0.0987273901691719,0.0184096877504804,7.5,0.0064412494792348,Media outlet,Lean preserve,Media amplifier,Media outlet,Media outlet
The Opinion Line,6,1,4.292048433093797,534000,-0.1428333333333333,0.0,Triple Lock and UN mandate debate,Other Neutrality Debate,Bottom,The Opinion Line - Neutrality,,0.1388888888888889,0.0,0.1126358882174022,0.0346239328663986,7.2,0.0072924291497783,Media outlet,Mixed / unclear,Media amplifier,Media outlet,Media outlet
Shannonside FM,5,3,3.9148168660725,301808,-0.4278,-0.13,Ukraine war and moral neutrality,Other Neutrality Debate,Mid,Sinn Féin leader claims parties are trying to 'dismantle Irish neutrality' | Shannonside.ie,https://www.shannonside.ie/news/sinn-fein-leader-claims-parties-are-trying-to-dismantle-irish-neutrality-287669,0.1111111111111111,0.0555555555555555,0.102162803334192,0.0195688762744233,7.1,0.0066514917236413,Media outlet,Lean preserve,Media amplifier,Media outlet,Media outlet
NewsTalk Breakfast,5,1,3.861017006742792,825000,-0.0334,0.0,Sinn Féin and government neutrality clash,Other Neutrality Debate,Bottom,NewsTalk Breakfast - Neutrality,,0.1111111111111111,0.0,0.1006691571425068,0.0534920311138182,6.9,0.0065600827685594,Media outlet,Mixed / unclear,Media amplifier,Media outlet,Media outlet
The Last Word,5,1,3.740962079844847,930000,-0.2834,0.13,Ukraine war and moral neutrality,Other Neutrality Debate,Bottom,The Last Word - Neutrality,,0.1111111111111111,0.0,0.0973360706514211,0.0603001078010314,6.9,0.0063561027664386,Media outlet,Lean preserve,Media amplifier,Media outlet,Media outlet
Breakingnews.ie,3,3,2.887328246631202,1194255,-0.3963333333333333,0.0,Defence capability and security gaps,Other Neutrality Debate,Top,"Fuel demonstrations prove protests ‘effective’, say neutrality campaigners | BreakingNews",https://www.breakingnews.ie/ireland/fuel-demonstrations-prove-protests-effective-say-neutrality-campaigners-1887441.html,0.0555555555555555,0.0555555555555555,0.0736366234789052,0.0774340916579793,6.9,0.0049057313772049,Media outlet,Lean preserve,Media amplifier,Media outlet,Media outlet
RTE News,3,3,2.8172908960768543,1249113,-0.1666666666666666,0.0,Ukraine war and moral neutrality,Ukraine / Russia / Moral Responsibility,Top,Are President's words on Iran a sign of things to come?,https://www.rte.ie/news/analysis-and-comment/2026/0314/1563318-are-presidents-words-on-iran-a-sign-of-things-to-come,0.0555555555555555,0.0555555555555555,0.0716921756079522,0.080991019952333,6.9,0.0047867340208802,Media outlet,Lean preserve,Media amplifier,Media outlet,Media outlet
WLR FM,5,2,3.884353042724317,314332,-0.2274,0.26,Sinn Féin and government neutrality clash,Other Neutrality Debate,Mid,WLR FM - Neutrality,https://wlrfm.com/lifestyle/sun-sea-and-scintillating-reads-in-dymphnas-book-club-370731,0.1111111111111111,0.0277777777777777,0.1013170358118397,0.0203809177261438,6.5,0.0065997319923938,Media outlet,Lean preserve,Media amplifier,Media outlet,Media outlet
Evening Herald,4,4,3.5317291805272486,115760,-0.375,0.0,Ukraine war and moral neutrality,Ukraine / Russia / Moral Responsibility,Top,'No strong evidence' Irish airspace is being used by US in Iran war - Martin,,0.0833333333333333,0.0833333333333333,0.0915271349565203,0.0075057424505885,6.5,0.0060006044262261,Media outlet,Lean preserve,Media amplifier,Media outlet,Media outlet
